Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Rolling_14,Std_14,Upper_band,Lower_band
2018-01-10,AXISBANK,EQ,565.3,566.15,566.7,560.45,563.55,562.8,562.91,2411625,1357535163.6,42761,1092127,45.29,-0.44224305678400855,Slight or No change,558.9357142857142,6.181841540767238,571.2993973672487,546.5720312041797
2018-01-11,AXISBANK,EQ,562.8,562.0,563.15,553.55,559.5,558.75,558.37,2825941,1577915952.15,56560,999239,35.36,-0.7196162046908205,Slight negative,559.6357142857142,5.479030956270501,570.5937761982552,548.6776523731733
2018-01-12,AXISBANK,EQ,558.75,560.2,563.4,552.5,556.5,555.1,556.54,6013121,3346534205.35,64648,3734806,62.11,-0.6532438478747182,Slight negative,559.742857142857,5.365411201634736,570.4736795461265,549.0120347395875
2018-01-15,AXISBANK,EQ,555.1,556.7,564.45,556.4,561.2,560.55,560.54,3943472,2210473553.5,78690,2016416,51.13,0.9818050801657208,Slight positive,560.1392857142855,5.190197067972029,570.5196798502295,549.7588915783415
2018-01-16,AXISBANK,EQ,560.55,562.95,566.9,555.8,561.2,563.2,561.66,5993564,3366322334.0,101529,3222165,53.76,0.4727499777004818,Slight or No change,560.7535714285713,4.989198497588666,570.7319684237486,550.7751744333939
2018-01-17,AXISBANK,EQ,563.2,564.05,589.3,561.0,587.8,585.2,575.03,8453944,4861288785.85,171384,3576554,42.31,3.90625,Among top gainers,563.492857142857,6.921895503590359,577.3366481500377,549.6490661356763
2018-01-18,AXISBANK,EQ,585.2,596.0,597.15,578.6,584.0,584.8,590.67,9466991,5591909614.9,122502,5367287,56.69,-0.06835269993166193,Slight or No change,564.9821428571427,8.968311888636213,582.9187666344151,547.0455190798702
2018-01-19,AXISBANK,EQ,584.8,584.9,594.0,581.2,591.8,590.25,586.78,3897048,2286703028.1,74142,1991467,51.1,0.931942544459652,Slight positive,566.7499999999998,11.231959894733716,589.2139197894672,544.2860802105323
2018-01-22,AXISBANK,EQ,590.25,595.95,621.75,583.15,611.3,611.55,607.42,21790443,13235965455.85,206129,5862132,26.9,3.6086404066073547,Among top gainers,570.4678571428568,16.174536102523863,602.8169293479045,538.1187849378091
2018-01-23,AXISBANK,EQ,611.55,616.4,627.6,611.45,621.8,620.1,619.63,14286343,8852254747.1,182690,5329211,37.3,1.3980868285504269,Positive,574.7285714285712,20.58723198681882,615.9030354022088,533.5541074549335
2018-01-24,AXISBANK,EQ,620.1,621.9,621.9,606.3,608.1,607.95,613.13,6158610,3776009678.2,113856,3480447,56.51,-1.9593613933236556,Negative,578.160714285714,21.889066278108906,621.9388468419318,534.3825817294962
2018-01-25,AXISBANK,EQ,607.95,610.0,619.25,598.6,614.75,616.1,614.06,6749846,4144830662.9,99985,3755122,55.63,1.3405707706225731,Positive,581.9357142857141,23.609413283780782,629.1545408532756,534.7168877181525
2018-01-29,AXISBANK,EQ,616.1,614.55,620.9,603.65,605.6,605.55,613.69,7017160,4306363380.0,88039,4897085,69.79,-1.7123843531894334,Negative,584.7999999999997,23.886357548254264,632.5727150965082,537.0272849034912
